COUNTRY,MEDIAN_PAY_SE,AVG_INCOME
Australia,65900,52216
United Kingdom,56200,43830
United States,76000,54980
Switzerland,104200,86145
Germany,63800,47843
France,54700,49479
Spain,37000,30432
Italy,34900,36216
Sweden,61400,59727
Canada,57500,49838
