COUNTRY,MEDIAN_PAY_SE,AVG_INCOME,PERC_MORE_THAN_AVG,ScaledMedianPay
Australia,65900,52216,126.206526735,50.26
United Kingdom,56200,43830,128.222678531,37.66
United States,76000,54980,138.232084394,63.38
Switzerland,104200,86145,120.958848453,100.0
Germany,63800,47843,133.352841586,47.53
France,54700,49479,110.551951333,35.71
Spain,37000,30432,121.58254469,12.73
Italy,34900,36216,96.3662469627,10.0
Sweden,61400,59727,102.801078239,44.42
Canada,57500,49838,115.373811148,39.35
