COUNTRY,MEDIAN_PAY_SE,AVG_INCOME,PERC_MORE_THAN_AVG
Australia,65900,52216,126.206526735
United Kingdom,56200,43830,128.222678531
United States,76000,54980,138.232084394
Switzerland,104200,86145,120.958848453
Germany,63800,47843,133.352841586
France,54700,49479,110.551951333
Spain,37000,30432,121.58254469
Italy,34900,36216,96.3662469627
Sweden,61400,59727,102.801078239
Canada,57500,49838,115.373811148
